created_at,rx_at,id,lat,lon,vbat,siv,ttf,rssi
2022-05-17 14:48:04,2022-05-17 15:46:01.823000,7,13.84641,100.56865,4.337,6,30.261,-52
2022-05-17 15:45:26,2022-05-17 15:46:02.829000,7,13.84596,100.56825,4.105,5,29.846,-52
2022-05-10 20:36:16,2022-05-17 15:46:31.461000,8,13.84641,100.56863,4.131,4,20.237,-61
2022-05-10 20:39:05,2022-05-17 15:46:31.968000,8,13.84730,100.56856,4.131,5,23.82,-61
2022-05-10 20:41:55,2022-05-17 15:46:32.468000,8,13.84646,100.56873,4.131,4,14.753,-61
2022-05-10 20:42:14,2022-05-17 15:46:32.975000,8,13.84645,100.56846,4.125,7,18.751,-61
2022-05-10 20:45:09,2022-05-17 15:46:33.474000,8,13.84651,100.56876,4.125,4,24.316,-60
2022-05-10 20:49:16,2022-05-17 15:46:33.980000,8,13.84470,100.56860,4.131,5,96.849,-60
2022-05-10 20:50:19,2022-05-17 15:46:34.480000,8,13.84660,100.56861,4.131,7,54.214,-61
2022-05-10 20:51:24,2022-05-17 15:46:34.985000,8,13.84646,100.56866,4.125,3,64.843,-61
2022-05-10 20:53:39,2022-05-17 15:46:35.487000,8,14.15228,100.87526,4.131,5,41.2,-60
2022-05-10 20:54:27,2022-05-17 15:46:35.986000,8,13.84623,100.56806,4.131,4,47.259,-60
2022-05-10 20:56:56,2022-05-17 15:46:36.489000,8,13.84633,100.56926,4.125,5,41.78,-61
2022-05-10 20:57:32,2022-05-17 15:46:36.988000,8,13.84663,100.56820,4.131,4,34.789,-60
2022-05-10 21:00:07,2022-05-17 15:46:37.492000,8,13.84650,100.56835,4.125,4,39.259,-60
2022-05-10 21:02:57,2022-05-17 15:46:37.994000,8,13.84646,100.56863,4.131,4,33.232,-60
2022-05-10 21:03:25,2022-05-17 15:46:38.499000,8,13.84651,100.56900,4.125,4,27.302,-59
2022-05-10 21:06:12,2022-05-17 15:46:39,8,13.84631,100.56836,4.125,4,37.263,-60
2022-05-10 21:09:20,2022-05-17 15:46:39.504000,8,13.84636,100.56856,4.125,3,53.761,-60
2022-05-10 21:14:23,2022-05-17 15:46:40.003000,8,13.84638,100.56870,4.125,4,42.789,-59
